scenario_name,batch_number,sim,ir100.B_ly,ir100.H_ly,ir100.W_ly,prepElig.B_ly,prepElig.H_ly,prepElig.W_ly,i.prev.B_ly,i.prev.H_ly,i.prev.W_ly,i.prev.dx.B_ly,i.prev.dx.H_ly,i.prev.dx.W_ly,incid.B_cml,incid.H_cml,incid.W_cml
t3_0_dumb_base,9,1,1.4972162024476408,0.6383607868969678,0.29504100054762805,22996.653846153848,3086.4423076923076,30796.76923076923,0.29558292067297304,0.09752077419306283,0.06310861958449285,0.2649296873403903,0.08349860159676888,0.057896631785378516,6615,242,1423
t3_0_dumb_base,9,2,1.5588650163964588,0.4424460452349737,0.23052759907491663,23389.115384615383,3106.7884615384614,30923.846153846152,0.2906730007290255,0.09773704859979221,0.05805306266993001,0.2590484034288136,0.08317114421731828,0.053337237191791946,6649,210,1221
t3_0_dumb_base,9,3,1.614076987431436,0.3868540388238834,0.29558147644169497,23443.30769230769,3012.576923076923,31274.26923076923,0.29132396492483287,0.10340775914482567,0.05997150926927798,0.26117525135744113,0.09163618735318636,0.05488943043040081,6614,220,1323
t3_0_dumb_base,9,4,1.6447544708662227,0.48165101577681974,0.24773237091529376,23640.865384615383,3082.8846153846152,30870.05769230769,0.29129253031111624,0.09946482019146764,0.06016617854874388,0.2609652858857404,0.08623488190204748,0.054696070420314366,6559,218,1288
t3_0_dumb_base,9,5,1.7085834437492118,0.32540595101175757,0.2802777022434395,23516.384615384617,2987.269230769231,31119.673076923078,0.29129458327925545,0.09960883276420764,0.05715754346998123,0.25940288459090544,0.08882672670088204,0.05214180601276577,6752,219,1280
t3_0_dumb_base,9,6,1.635828769957309,0.530616720075727,0.2326476631326869,23156.134615384617,3014.923076923077,30497.69230769231,0.2935470182915088,0.10045765977040967,0.060021026273387665,0.26237836758500954,0.08809153046490766,0.054901081002220686,6785,218,1315
t3_0_dumb_base,9,7,1.6446338326762826,0.41790216411062425,0.33612094032210227,23093.23076923077,3118.096153846154,30960.46153846154,0.2977467226971537,0.10388810835735995,0.060495335061404906,0.2661092798459257,0.08919322131136023,0.055202774777852896,6849,237,1377
t3_0_dumb_base,9,8,1.714145571137099,0.5701859054101373,0.2635834897810659,23348.403846153848,3062.3653846153848,30281.326923076922,0.2938579770251667,0.10409756786867444,0.06006317598395062,0.26235340857969147,0.0919977521562022,0.054689367880760134,6981,234,1356
t3_0_dumb_base_nsc,1,1,1.7228628708256228,0.5032222576467023,0.2468911612344052,23290.23076923077,3098.653846153846,30985.94230769231,0.2948569243290834,0.10450141135051767,0.05794129340449083,0.2627928611532194,0.0921491209357298,0.05296619205722165,6618,249,1241
t3_0_dumb_base_nsc,1,2,1.5546512572590951,0.42806829742081604,0.23843523335107855,23803.903846153848,3041.1346153846152,31208.173076923078,0.2884553382778549,0.0978363637117641,0.057159163698017795,0.2581952916682004,0.08491318395758188,0.05211471609606775,6507,215,1259
t3_0_dumb_base_nsc,1,3,1.6350738450115354,0.4487468752937063,0.2837186364993406,23180.98076923077,3037.1346153846152,30594.884615384617,0.2985470458536244,0.09571801344057977,0.06054721561028215,0.2666442118915567,0.08222952556547863,0.05531194830430997,6904,234,1376
t3_0_dumb_base_nsc,1,4,1.583408937948471,0.5259808184370777,0.2721009112356679,23534.76923076923,3033.173076923077,31245.71153846154,0.29092980862701256,0.10720505787888224,0.05849174017062042,0.26071564193466185,0.09277454122059481,0.05343431900369178,6741,256,1322
t3_0_dumb_base_nsc,1,5,1.6871671241020978,0.20288938268331339,0.23803932146033852,23469.98076923077,3042.1923076923076,31051.69230769231,0.29153415980791786,0.09786323504771645,0.05906401496037391,0.2600714437994852,0.0855078773447607,0.05455651209918671,6829,208,1323
t3_0_dumb_base_nsc,1,6,1.629346828407109,0.5033102974207088,0.2822959786990181,23177.46153846154,3014.75,30571.576923076922,0.29760278035063603,0.0967442269662451,0.06180514128978136,0.2656380784800682,0.0868340101648959,0.05633727344328621,6967,217,1424
t3_0_dumb_base_nsc,1,7,1.766993496292245,0.6593355513638024,0.2683009237114328,23259.01923076923,3004.9423076923076,30351.423076923078,0.29841065545112305,0.1031076010442111,0.06341845943470471,0.26612659427648594,0.09195515425106159,0.0582830587817217,6990,234,1416
t3_0_dumb_base_nsc,1,8,1.770830483971254,0.3565268596965273,0.2497127541024955,23510.69230769231,3122.576923076923,31079.53846153846,0.2932346701145787,0.09455116277400459,0.05943043279052827,0.2618797388308168,0.08196009692101539,0.054821908258746214,6732,227,1322
t3_0_dumb_base_nsc,10,1,1.6282729297143272,0.39358515373876674,0.27565343225218963,23187.94230769231,3001.5384615384614,30751.423076923078,0.29321109384668814,0.09804556894113409,0.05989370279989471,0.26149394958976185,0.08565255068683046,0.0551243360886979,6743,208,1400
t3_0_dumb_base_nsc,10,2,1.6963466456511171,0.2980531754315316,0.2563011535490276,23366.19230769231,3101,30840.96153846154,0.29375449348336174,0.10082876297034184,0.05848671582460219,0.2631996802754231,0.08831313300392543,0.05332263375911265,6812,224,1263
t3_0_dumb_base_nsc,10,3,1.6693770066527862,0.5009652166638058,0.27348496425569496,22958.96153846154,3073.1923076923076,31108.384615384617,0.2978313724839723,0.1019409956370508,0.06087443161587875,0.26612963507159376,0.089967023085088,0.05546201646387178,6805,235,1390
t3_0_dumb_base_nsc,10,4,1.6517006196717703,0.34930451144744373,0.28131540680441924,23474,2986.1923076923076,31007.94230769231,0.2955288142106152,0.09866041300236696,0.06117079000546121,0.26488993153907725,0.08619996166717193,0.055902171002063974,6713,218,1350
t3_0_dumb_base_nsc,10,5,1.830869182118789,0.41020195870854814,0.2429266586385335,22938.78846153846,2976.7115384615386,30926.76923076923,0.30050882699684645,0.09747071547573223,0.0603926296574621,0.26785189323280256,0.0852478402215533,0.05541858855479234,6981,233,1354
t3_0_dumb_base_nsc,10,6,1.5908841936665066,0.6289601720877787,0.30440011427880115,23474.346153846152,3020.980769230769,30737.923076923078,0.2882449250847298,0.1047161105638349,0.05842047026417629,0.2588268811591667,0.09123746585681607,0.05307862067073046,6598,251,1324
t3_0_dumb_base_nsc,10,7,1.6543322775577722,0.5823833572747122,0.2463286533225117,23682.98076923077,3083.7115384615386,30757.826923076922,0.2915933386047884,0.1021034287026878,0.060974049025653336,0.2609394834127621,0.08710344214904922,0.055613352774463276,6672,248,1368
t3_0_dumb_base_nsc,10,8,1.630764576088117,0.577141525821219,0.28268199650099884,23138.05769230769,2965.173076923077,30617.05769230769,0.2986077676964736,0.10974049309640523,0.060931362346314424,0.26670892757285736,0.09887722709365575,0.05561018488931917,6858,256,1341
t3_0_dumb_base_nsc,11,1,1.5617884174016585,0.4416508076299004,0.25304112626564457,23303.096153846152,3073.8076923076924,30456.673076923078,0.2976513939818129,0.10344576226827365,0.05988474172243166,0.2667220648347889,0.09104021850409333,0.0551841757612873,6897,248,1292
t3_0_dumb_base_nsc,11,2,1.6171935773558173,0.5492486689952176,0.262745674941023,22909.384615384617,2971.480769230769,30548.19230769231,0.2998180615097166,0.10398192518327441,0.06127149631897703,0.2673922236111731,0.09264406365129493,0.05595328283738679,6870,240,1354
t3_0_dumb_base_nsc,11,3,1.6522030096249976,0.4623564371767233,0.2558091882137008,23421.48076923077,3011.6346153846152,30655.05769230769,0.2942782598396767,0.10145042842571024,0.05801117103039787,0.26289402883889307,0.08706206684870475,0.053192910857328884,6770,234,1305
t3_0_dumb_base_nsc,11,4,1.9681798250036424,0.6140422674141958,0.29855759609042226,23246.94230769231,3040.3846153846152,30865.653846153848,0.29748646298178644,0.10832058948821219,0.06034354939216413,0.26465528610517014,0.09367379016696865,0.05507914194046167,7006,273,1334
t3_0_dumb_base_nsc,11,5,1.7561834477370082,0.5515501862849508,0.26819767049986837,23348.76923076923,3019.423076923077,30628.80769230769,0.2949413493640756,0.10574295790124032,0.06026859424155457,0.2629221860601352,0.09165351925026445,0.05505741533885518,6771,259,1340
t3_0_dumb_base_nsc,11,6,1.489251181292094,0.5083129023246616,0.24959507465775238,23196.153846153848,3028.9615384615386,31124.5,0.29314647037959723,0.10053047392681085,0.06157127186024672,0.26366895907006965,0.0884039325512406,0.05651478748150681,6636,252,1372
t3_0_dumb_base_nsc,11,7,1.6614331571147425,0.5222823592833794,0.2543012780363457,23151.173076923078,3104.5576923076924,31020.096153846152,0.29455785459047057,0.09853128847469378,0.058228113276990116,0.2643215762792103,0.08563492514536046,0.05309899870588911,6744,233,1319
t3_0_dumb_base_nsc,11,8,1.5674941084186298,0.43056333154129706,0.22113259615469444,23379.71153846154,3114.230769230769,31263.884615384617,0.2895766517700606,0.09541315379746487,0.057352000312857566,0.2597190300315525,0.08228283415630804,0.05258990894563064,6663,217,1262
t3_0_dumb_base_nsc,12,1,1.5215711383604995,0.286781438145916,0.22696197880833044,23349.76923076923,3001.846153846154,31238.26923076923,0.2866904957199948,0.09877841483391987,0.05948114617108812,0.25791959715346274,0.08768757673864902,0.054382798397409164,6409,203,1299
